id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
52276,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,2,"""Reuters News,2003-06-03,Pakistan says nine killed, six hurt in Kashmir."";""Xinhua News Agency,2003-06-04,Kashmiri leader condemns killing of ten persons in Indian firing.""",Reuters News;Xinhua News Agency,2003-06-03;2003-06-04,"Pakistan says nine killed, six hurt in Kashmir.;Kashmiri leader condemns killing of ten persons in Indian firing.",Pakistani military spokesperson,2,Lala village,"near Lala village, Neelum valley (Pakistan)",Azad Jammu & Kashmir,Neelam District,34.601010,73.922710,POINT (73.922710 34.601010),179788,Pakistan,770,Asia,1,1,06/03/2003 00:00:00,06/03/2003 00:00:00,0,0,0,9,9,10,9,
52277,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Associated Press Newswires,2003-09-21,Pakistani, Indian troops trade fire in Kashmir; four civilians killed""",Associated Press Newswires,2003-09-21,"Pakistani, Indian troops trade fire in Kashmir; four civilians killed",,1,Dawar village,"Dawar village, Gurez sector, 170 kilometers (105 miles) north of Srinagar city in the Indian-controlled part of Kashmir, Baramulla district",Jammu and Kashmir State,Baramulla district,34.659722,74.779682,POINT (74.779682 34.659722),179790,India,750,Asia,1,1,09/21/2003 00:00:00,09/21/2003 00:00:00,0,0,3,0,3,3,3,
52278,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Associated Press Newswires,2003-10-22,Five Pakistani civilians killed by Indian fire, as India announces peace initiative""",Associated Press Newswires,2003-10-22,"Five Pakistani civilians killed by Indian fire, as India announces peace initiative",,2,Khaplu village,"Khaplu area (Pakistan), north of the Indian town of Kargil.",Gilgit-Baltistan,Ghanche District,35.152682,76.344044,POINT (76.344044 35.152682),180513,Pakistan,770,Asia,1,1,10/21/2003 00:00:00,10/21/2003 00:00:00,0,0,3,0,3,3,3,
52678,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Agence France Presse,2003-06-04,One dead in Indian shelling of Pakistani Kashmir.""",Agence France Presse,2003-06-04,One dead in Indian shelling of Pakistani Kashmir.,Police,1,Sugna village,"Sugna village, Chakothi sector, some 60 kilometres (37 miles) south of Muzaffarabad, Pakistani Kashmir",Azad Jammu & Kashmir,Hattian Bala District,34.096128,73.896133,POINT (73.896133 34.096128),179068,Pakistan,770,Asia,1,1,06/04/2003 00:00:00,06/04/2003 00:00:00,0,0,1,0,1,1,1,
52679,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,2,"""Reuters News,2003-06-05,India say Pakistani fire kills five in Kashmir."";""The Press Trust of India Limited,2003-06-05,KASHMIR-SHELLING.""",Reuters News;The Press Trust of India Limited,2003-06-05;2003-06-05,India say Pakistani fire kills five in Kashmir.;KASHMIR-SHELLING.,Indian police,1,Hardu Kamal Koote village,"Kamalkote village of Uri sector, Baramulla",Jammu and Kashmir State,Baramulla district,34.119784,73.991680,POINT (73.991680 34.119784),179068,India,750,Asia,1,1,06/05/2003 00:00:00,06/05/2003 00:00:00,0,0,1,0,1,1,1,
52680,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""The Press Trust of India Limited,2003-06-05,KASHMIR-SHELLING.""",The Press Trust of India Limited,2003-06-05,KASHMIR-SHELLING.,,1,Tangdhar village,"Tangdhar village in Karnah sector (Kern), Kupwara district, Indian Kashmir",Jammu and Kashmir State,Kupwara district,34.357933,73.739723,POINT (73.739723 34.357933),179068,India,750,Asia,1,1,06/05/2003 00:00:00,06/05/2003 00:00:00,0,0,4,0,4,4,4,
52681,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,2,"""Agence France Presse,2003-06-08,One killed in Indian shelling of Pakistani Kashmir."";""Xinhua News Agency,2003-06-09,Pakistani civilian killed in Indian border shelling.""",Agence France Presse;Xinhua News Agency,2003-06-08;2003-06-09,One killed in Indian shelling of Pakistani Kashmir.;Pakistani civilian killed in Indian border shelling.,,2,Charhoi village,"Gai village, Charhoi sector of Kotli district (also reported as Changar Jung village), Pakistan",Azad Jammu & Kashmir,Kotli District,33.300487,73.951752,POINT (73.951752 33.300487),177628,Pakistan,770,Asia,1,1,06/08/2003 00:00:00,06/08/2003 00:00:00,0,0,0,1,1,1,1,
52683,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Reuters News,2003-09-21,India says Pakistani shells kill three in Kashmir.""",Reuters News,2003-09-21,India says Pakistani shells kill three in Kashmir.,,4,Jammu and Kashmir State,"Tulial sector 120 km (75 miles) north of Srinagar, India",Jammu and Kashmir State,,33.916670,76.666670,POINT (76.666670 33.916670),178354,India,750,Asia,1,1,09/21/2003 00:00:00,09/21/2003 00:00:00,0,0,3,0,3,3,3,
52684,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Associated Press Newswires,2003-10-22,Five Pakistani civilians killed by Indian fire, as India announces peace initiative""",Associated Press Newswires,2003-10-22,"Five Pakistani civilians killed by Indian fire, as India announces peace initiative",,2,Leepa town,"Lipa area, Pakistani Kashmir",Azad Jammu & Kashmir,Hattian Bala District,34.303400,73.887800,POINT (73.887800 34.303400),179068,Pakistan,770,Asia,1,1,10/22/2003 00:00:00,10/22/2003 00:00:00,0,0,1,0,1,1,1,
52694,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Pt 4875,Pt 4875,Jammu and Kashmir State,Kargil district,34.457500,75.629722,POINT (75.629722 34.457500),179072,India,750,Asia,1,1,07/05/1999 00:00:00,07/05/1999 00:00:00,0,6,0,0,6,6,6,
